Date,Open,High,Low,Close,Adj Close,Volume
2023-12-23,87.620003,90.099998,87.620003,89.809998,89.809998,17815000
2023-12-23,89.309998,89.5,87.535004,87.93,87.93,15470900
2023-12-23,87.5,88.519997,86.370003,86.459999,86.459999,17879600
2023-12-23,87.029999,89.364998,86.989998,88.949997,88.949997,18280700
2023-12-23,87.364998,88.830002,87.029999,88.730003,88.730003,19190300
2023-12-23,89.830002,91.550003,89.019997,89.699997,89.699997,20738500
2023-12-23,91.010002,91.239998,87.800003,88.709999,88.709999,27046500
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
2023-12-24,95.739998,97.019997,94.529999,94.860001,94.860001,49325300
2023-12-25,95.010002,95.349998,94.050003,95,95,43116600
2023-12-25,94.660004,95.175003,92.650002,94.949997,94.949997,42513100
2023-12-25,94.739998,97.339996,94.360001,97.099998,97.099998,36964500
2023-12-25,95.540001,97.879997,94.970001,95.779999,95.779999,35642100
2023-12-25,95.07,95.75,93.449997,94.589996,94.589996,31095100
2023-12-25,93.239998,93.415001,92,92.050003,92.050003,28367200
2023-12-25,91.933998,92.360001,90.870003,91.800003,91.800003,29891100
2023-12-25,92.129997,92.129997,90.010002,91.07,91.07,32423700
2023-12-25,89.629997,90.129997,88.860001,89.349998,89.349998,31295600
2023-12-25,90.089996,90.449997,89.610001,90.099998,90.099998,22724300
2023-12-25,89.540001,91.449997,89.519997,90.300003,90.300003,30546900
2023-12-25,90.160004,91.199997,89.849998,90.510002,90.510002,26323900
2023-12-25,89.860001,92.480003,89.769997,92.309998,92.309998,23328600
2023-12-25,92.739998,94.110001,92.660004,94.019997,94.019997,30242500
2023-12-25,94.360001,96.300003,94.300003,95.580002,95.580002,28288200
